,Country,Lat,Long,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1,continent,color,daily_conf,daily_death,daily_recovered,daily_conf_f,daily_recovered_f,daily_death_f
1187,South Korea,36.0,128.0,2020-01-28,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1399,Nepal,28.1667,84.25,2020-01-29,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1386,Malaysia,2.5,112.5,2020-01-29,7,0,0,7,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
1445,Thailand,15.0,101.0,2020-01-29,14,0,5,14,5,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1450,United States of America,37.0902,-95.7129,2020-01-29,5,0,0,5,0,0,1.722163057360357,Americas,navy,0.0,0.0,0.0,0,0,0
1458,Vietnam,16.0,108.0,2020-01-29,2,0,0,2,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1430,Singapore,1.2833,103.8333,2020-01-29,7,0,0,7,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1442,Taiwan,23.7,121.0,2020-01-29,8,0,0,8,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1437,Sri Lanka,7.0,81.0,2020-01-29,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1311,Cambodia,11.55,104.9167,2020-01-29,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1316,China,1083.3367,3684.4197,2020-01-29,6087,133,120,"6,087",120,133,1.7709856865583151,Asia,red,578.0,2.0,19.0,578,19,2
1289,Australia,-255.9695,1129.8623,2020-01-29,6,0,0,6,0,0,1.722163057360357,Oceania,green,1.0,0.0,0.0,1,0,0
1366,Japan,36.0,138.0,2020-01-29,7,0,1,7,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1345,Germany,51.0,9.0,2020-01-29,4,0,0,4,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1370,South Korea,36.0,128.0,2020-01-29,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1582,Nepal,28.1667,84.25,2020-01-30,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1569,Malaysia,2.5,112.5,2020-01-30,8,0,0,8,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
1628,Thailand,15.0,101.0,2020-01-30,14,0,5,14,5,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1633,United States of America,37.0902,-95.7129,2020-01-30,5,0,0,5,0,0,1.722163057360357,Americas,navy,0.0,0.0,0.0,0,0,0
1636,United Arab Emirates,24.0,54.0,2020-01-30,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1641,Vietnam,16.0,108.0,2020-01-30,2,0,0,2,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1613,Singapore,1.2833,103.8333,2020-01-30,10,0,0,10,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
1625,Taiwan,23.7,121.0,2020-01-30,9,0,0,9,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
1620,Sri Lanka,7.0,81.0,2020-01-30,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1494,Cambodia,11.55,104.9167,2020-01-30,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1499,China,1083.3367,3684.4197,2020-01-30,8141,171,135,"8,141",135,171,1.7849350091863032,Asia,red,2054.0,38.0,15.0,"2,054",15,38
1472,Australia,-255.9695,1129.8623,2020-01-30,9,0,2,9,2,0,1.722163057360357,Oceania,green,3.0,0.0,2.0,3,2,0
1549,Japan,36.0,138.0,2020-01-30,11,0,1,11,1,0,1.722163057360357,Asia,red,4.0,0.0,0.0,4,0,0
1524,Finland,64.0,26.0,2020-01-30,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1528,Germany,51.0,9.0,2020-01-30,4,0,0,4,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1553,South Korea,36.0,128.0,2020-01-30,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1752,Malaysia,2.5,112.5,2020-01-31,8,0,0,8,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1765,Nepal,28.1667,84.25,2020-01-31,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1779,Philippines,13.0,122.0,2020-01-31,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1816,United States of America,37.0902,-95.7129,2020-01-31,7,0,0,7,0,0,1.722163057360357,Americas,navy,2.0,0.0,0.0,2,0,0
1819,United Arab Emirates,24.0,54.0,2020-01-31,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1824,Vietnam,16.0,108.0,2020-01-31,2,0,0,2,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1808,Taiwan,23.7,121.0,2020-01-31,10,0,0,10,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
1811,Thailand,15.0,101.0,2020-01-31,19,0,5,19,5,0,1.722163057360357,Asia,red,5.0,0.0,0.0,5,0,0
1796,Singapore,1.2833,103.8333,2020-01-31,13,0,0,13,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
1803,Sri Lanka,7.0,81.0,2020-01-31,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1677,Cambodia,11.55,104.9167,2020-01-31,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1682,China,1083.3367,3684.4197,2020-01-31,9802,213,214,"9,802",214,213,1.8003526815646056,Asia,red,1661.0,42.0,79.0,"1,661",79,42
1655,Australia,-255.9695,1129.8623,2020-01-31,9,0,2,9,2,0,1.722163057360357,Oceania,green,0.0,0.0,0.0,0,0,0
1724,India,21.0,78.0,2020-01-31,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1732,Japan,36.0,138.0,2020-01-31,15,0,1,15,1,0,1.722163057360357,Asia,red,4.0,0.0,0.0,4,0,0
1736,South Korea,36.0,128.0,2020-01-31,11,0,0,11,0,0,1.722163057360357,Asia,red,7.0,0.0,0.0,7,0,0
1707,Finland,64.0,26.0,2020-01-31,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1711,Germany,51.0,9.0,2020-01-31,5,0,0,5,0,0,1.722163057360357,Europe,orange,1.0,0.0,0.0,1,0,0
1948,Nepal,28.1667,84.25,2020-02-01,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1962,Philippines,13.0,122.0,2020-02-01,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1935,Malaysia,2.5,112.5,2020-02-01,8,0,0,8,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1967,Russia,60.0,90.0,2020-02-01,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2003,United Kingdom,270.0299,-482.9247,2020-02-01,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2002,United Arab Emirates,24.0,54.0,2020-02-01,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2007,Vietnam,16.0,108.0,2020-02-01,6,0,1,6,1,0,1.722163057360357,Asia,red,4.0,0.0,1.0,4,1,0
1994,Thailand,15.0,101.0,2020-02-01,19,0,5,19,5,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1999,United States of America,37.0902,-95.7129,2020-02-01,8,0,0,8,0,0,1.722163057360357,Americas,navy,1.0,0.0,0.0,1,0,0
1991,Taiwan,23.7,121.0,2020-02-01,10,0,0,10,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1979,Singapore,1.2833,103.8333,2020-02-01,16,0,0,16,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
