,Country/Region,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1
22,Botswana,2020-01-22,0,0,0,0,0,0,0.06836577025798513
20,Bolivia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
93,Kuwait,2020-01-22,0,0,0,0,0,0,0.06836577025798513
1,Albania,2020-01-22,0,0,0,0,0,0,0.06836577025798513
2,Algeria,2020-01-22,0,0,0,0,0,0,0.06836577025798513
3,Andorra,2020-01-22,0,0,0,0,0,0,0.06836577025798513
4,Angola,2020-01-22,0,0,0,0,0,0,0.06836577025798513
5,Antigua and Barbuda,2020-01-22,0,0,0,0,0,0,0.06836577025798513
6,Argentina,2020-01-22,0,0,0,0,0,0,0.06836577025798513
7,Armenia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
8,Australia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
21,Bosnia and Herzegovina,2020-01-22,0,0,0,0,0,0,0.06836577025798513
9,Austria,2020-01-22,0,0,0,0,0,0,0.06836577025798513
11,Bahamas,2020-01-22,0,0,0,0,0,0,0.06836577025798513
12,Bahrain,2020-01-22,0,0,0,0,0,0,0.06836577025798513
13,Bangladesh,2020-01-22,0,0,0,0,0,0,0.06836577025798513
14,Barbados,2020-01-22,0,0,0,0,0,0,0.06836577025798513
15,Belarus,2020-01-22,0,0,0,0,0,0,0.06836577025798513
16,Belgium,2020-01-22,0,0,0,0,0,0,0.06836577025798513
17,Belize,2020-01-22,0,0,0,0,0,0,0.06836577025798513
18,Benin,2020-01-22,0,0,0,0,0,0,0.06836577025798513
19,Bhutan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
10,Azerbaijan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
46,Czechia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
24,Brunei,2020-01-22,0,0,0,0,0,0,0.06836577025798513
91,Korea South,2020-01-22,1,0,0,1,0,0,0.06836577025798513
71,Guinea,2020-01-22,0,0,0,0,0,0,0.06836577025798513
72,Guinea-Bissau,2020-01-22,0,0,0,0,0,0,0.06836577025798513
73,Guyana,2020-01-22,0,0,0,0,0,0,0.06836577025798513
74,Haiti,2020-01-22,0,0,0,0,0,0,0.06836577025798513
75,Holy See,2020-01-22,0,0,0,0,0,0,0.06836577025798513
76,Honduras,2020-01-22,0,0,0,0,0,0,0.06836577025798513
77,Hungary,2020-01-22,0,0,0,0,0,0,0.06836577025798513
78,Iceland,2020-01-22,0,0,0,0,0,0,0.06836577025798513
80,Indonesia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
70,Guatemala,2020-01-22,0,0,0,0,0,0,0.06836577025798513
81,Iran,2020-01-22,0,0,0,0,0,0,0.06836577025798513
83,Ireland,2020-01-22,0,0,0,0,0,0,0.06836577025798513
84,Israel,2020-01-22,0,0,0,0,0,0,0.06836577025798513
85,Italy,2020-01-22,0,0,0,0,0,0,0.06836577025798513
86,Jamaica,2020-01-22,0,0,0,0,0,0,0.06836577025798513
87,Japan,2020-01-22,2,0,0,2,0,0,0.06836577025798513
88,Jordan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
89,Kazakhstan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
90,Kenya,2020-01-22,0,0,0,0,0,0,0.06836577025798513
47,Denmark,2020-01-22,0,0,0,0,0,0,0.06836577025798513
82,Iraq,2020-01-22,0,0,0,0,0,0,0.06836577025798513
69,Grenada,2020-01-22,0,0,0,0,0,0,0.06836577025798513
79,India,2020-01-22,0,0,0,0,0,0,0.06836577025798513
48,Diamond Princess,2020-01-22,0,0,0,0,0,0,0.06836577025798513
68,Greece,2020-01-22,0,0,0,0,0,0,0.06836577025798513
49,Djibouti,2020-01-22,0,0,0,0,0,0,0.06836577025798513
50,Dominica,2020-01-22,0,0,0,0,0,0,0.06836577025798513
51,Dominican Republic,2020-01-22,0,0,0,0,0,0,0.06836577025798513
52,Ecuador,2020-01-22,0,0,0,0,0,0,0.06836577025798513
53,Egypt,2020-01-22,0,0,0,0,0,0,0.06836577025798513
55,Equatorial Guinea,2020-01-22,0,0,0,0,0,0,0.06836577025798513
56,Eritrea,2020-01-22,0,0,0,0,0,0,0.06836577025798513
57,Estonia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
58,Eswatini,2020-01-22,0,0,0,0,0,0,0.06836577025798513
54,El Salvador,2020-01-22,0,0,0,0,0,0,0.06836577025798513
67,Ghana,2020-01-22,0,0,0,0,0,0,0.06836577025798513
60,Fiji,2020-01-22,0,0,0,0,0,0,0.06836577025798513
61,Finland,2020-01-22,0,0,0,0,0,0,0.06836577025798513
62,France,2020-01-22,0,0,0,0,0,0,0.06836577025798513
63,Gabon,2020-01-22,0,0,0,0,0,0,0.06836577025798513
64,Gambia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
65,Georgia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
